1865,770,909
1870,782,927
1883,804,898
1879,810,891
1885,806,910
1888,803,897
1887,789,909
1884,790,916
1881,779,911
1884,768,894
1882,769,907
1875,751,913
1884,747,910
1878,756,915
1882,748,919
1879,749,927
1878,737,912
1873,731,921
1876,743,915
1879,751,906
1895,767,912
1902,766,912
1902,774,912
1893,771,913
1890,766,896
1884,758,910
1885,761,907
1882,751,912
1880,751,906
1877,740,910
1871,752,898
1882,759,896
1885,766,911
1882,765,899
1877,760,899
1873,760,897
1864,763,899
1871,762,905
1879,762,896
1888,784,908
1884,788,913
1895,793,913
1890,794,911
1886,782,906
1884,761,900
1883,755,907
1877,751,895
1882,748,908
1884,744,925
1876,749,920
1889,750,913
1884,754,913
1878,753,918
1879,736,910
1876,749,914
1874,756,916
1875,775,914
1887,774,910
1884,777,910
1886,782,909
1883,789,904
1879,786,904
1882,784,905
1881,779,904
1887,775,907
1883,769,903
1874,761,894
1868,769,905
1872,764,903
1880,771,912
1878,772,908
1868,768,904
1869,751,915
1871,746,914
1880,764,913
1876,765,907
1877,767,902
1887,773,920
1885,781,913
1894,778,922
1884,772,911
1880,771,909
1873,770,909
1875,766,913
1883,781,901
1884,773,895
1881,766,915
1882,764,918
1875,766,915
1879,761,911
1878,757,907
1874,761,908
1879,763,903
1875,766,909
1875,769,905
1884,768,901
1886,772,898
1882,774,912
1887,768,912
1888,767,912
1889,764,902
1881,763,903
1881,767,908
1882,768,908
1878,764,912
1874,762,906
1881,762,913
1879,766,926
1880,764,920
1885,754,916
1873,769,917
1879,772,907
1878,761,918
1883,766,910
1878,767,913
1877,756,908
1881,761,906
1881,772,914
1888,774,908
1881,765,910
1879,762,902
1880,762,904
1879,757,902
1878,757,900
1884,761,905
1885,766,903
1890,761,917
1878,766,918
1880,765,909
1873,763,916
1873,764,917
1875,763,908
1881,766,909
1877,768,911
1875,772,919
1887,769,919
1884,771,915
1882,767,921
1889,769,914
1886,761,923
1887,761,906
1883,763,907
1875,758,920
1881,759,911
1879,753,906
1885,768,914
1889,767,917
1874,758,904
1879,758,910
1882,760,900
1881,762,908
1877,767,917
1881,764,911
1882,765,917
1879,766,916
1879,770,905
1873,766,922
1877,768,916
1878,768,915
1885,767,920
1888,764,917
1874,770,919
1877,768,906
1880,766,909
1880,757,916
1887,760,907
1877,769,904
1885,762,921
1890,764,913
1884,764,916
1889,768,911
1889,770,903
1892,766,898
1884,762,919
1879,765,917
1888,767,916
1880,769,907
1881,764,915
1879,763,912
1883,766,904
1877,770,908
1884,767,906
1880,767,902
1875,764,907
1868,766,904
1879,769,909
1886,770,909
1886,771,895
1889,769,894
1879,760,902
1871,759,900
1870,764,905
1884,769,898
1883,764,913
1887,771,906
1893,770,910
1876,755,918
1877,758,909
1878,756,902
1888,752,917
1889,758,915
1882,771,895
1893,768,900
1882,757,910
1887,750,907
1885,756,919
1883,759,911
1889,756,909
1890,767,922
1892,763,927
1885,762,911
1890,757,914
1890,755,914
1885,760,913
1882,755,911
1886,753,900
1889,758,900
1882,761,921
1877,762,911
1880,768,906
1885,756,907
1884,756,908
1879,777,913
1885,772,913
1889,775,910
1888,771,913
1878,772,904
1892,774,888
1880,767,895
1879,766,900
1873,765,900
1883,775,911
1883,775,903
1877,770,908
1881,764,909
1880,768,906
1881,765,894
1882,760,902
1882,762,912
1885,770,910
1882,771,898
1888,764,897
1879,757,897
1888,755,921
1893,758,922
1884,763,917
1886,765,923
1885,765,915
1888,771,914
1885,764,916
1882,765,913
1875,751,927
1856,732,924
1875,753,922
1901,789,924
1923,816,927
1928,817,925
1902,776,912
1874,743,919
1843,686,923
1840,676,912
1849,690,919
1885,739,904
1897,757,911
1889,751,897
1881,750,890
1873,754,897
1869,762,895
1880,780,896
1895,810,902
1890,809,897
1887,808,889
1886,814,878
1874,809,884
1859,796,890
1856,799,892
1867,788,920
1865,785,914
1851,778,902
1848,775,904
1853,773,902
1858,782,914
1866,781,916
1853,768,915
1857,769,919
1861,769,903
1862,771,906
1869,773,912
1876,775,919
1883,776,922
1881,775,927
1876,762,932
1874,753,924
1883,745,932
1887,751,933
1896,770,933
1900,769,931
1887,767,921
1877,753,920
1872,741,931
1875,739,912
1875,753,924
1887,775,907
1886,784,907
1875,786,926
1873,783,913
1865,768,907
1860,770,892
1861,773,893
1863,805,884
1867,813,888
1868,814,890
1866,798,887
1864,788,886
1864,790,878
1865,785,878
1866,792,900
1870,789,896
1872,784,910
1871,777,904
1866,773,901
1867,766,900
1872,765,889
1878,768,888
1887,762,900
1882,768,907
1887,757,901
1888,754,905
1893,744,918
1893,751,910
1895,748,915
1901,748,917
1899,747,915
1907,746,911
1906,738,912
1894,740,909
1905,740,921
1903,733,914
1904,730,922
1902,734,923
1902,724,919
1899,727,920
1891,734,903
1895,734,908
1903,749,899
1896,756,889
1897,751,904
1889,749,891
1886,752,889
1885,759,891
1889,761,887
1887,779,895
1889,782,896
1880,773,898
1871,774,889
1873,768,879
1877,779,879
1871,777,887
1875,781,896
1878,779,897
1870,774,897
1868,766,906
1874,763,907
1877,761,898
1877,770,910
1884,767,916
1896,765,916
1891,760,920
1893,754,913
1885,743,906
1887,746,920
1890,755,909
1906,743,925
1901,750,928
1894,751,941
1889,752,926
1881,753,913
1881,746,910
1886,753,920
1894,764,925
1894,764,917
1885,772,920
1882,763,915
1876,763,918
1874,761,902
1871,771,908
1880,789,902
1882,784,898
1862,782,907
1855,783,911
1865,788,893
1867,789,904
1870,789,903
1869,793,911
1868,789,902
1874,778,909
1870,777,903
1872,778,900
1880,781,909
1877,781,911
1876,772,914
1871,763,923
1882,771,916
1878,765,912
1876,762,909
1879,769,912
1887,765,917
1885,761,912
1885,756,917
1887,753,914
1890,757,924
1889,754,923
1893,757,916
1893,762,921
1885,756,924
1882,760,923
1881,757,912
1889,763,900
1889,765,905
1892,766,896
1889,768,897
1881,767,912
1882,761,908
1881,759,908
1880,768,897
1881,772,889
1880,769,909
1878,765,900
1889,766,899
1878,767,898
1881,767,887
1876,764,905
1871,770,904
1882,772,916
1883,773,905
1886,776,905
1870,770,900
1871,765,899
1879,757,905
1875,754,912
1882,761,913
1884,759,919
1883,758,908
1881,755,907
1885,751,903
1893,746,914
1893,745,908
1896,751,913
1890,754,907
1889,753,929
1885,752,925
1883,747,918
1892,741,915
